iter	Passed	Remaining
466	727	830
467	729	829
468	730	827
469	732	825
470	733	823
471	734	821
472	735	819
473	736	816
474	737	814
475	738	812
476	739	810
477	740	808
478	742	807
479	743	805
480	745	803
481	746	801
482	747	799
483	748	797
484	749	795
485	750	793
486	751	791
487	752	789
488	753	787
489	754	785
490	755	783
491	757	781
492	758	780
493	759	778
494	761	776
495	761	774
496	762	772
497	763	770
498	764	767
499	765	765
500	767	764
501	768	762
502	769	760
503	770	758
504	771	756
505	772	754
506	773	752
507	775	750
508	776	749
509	777	747
510	778	745
511	779	743
512	780	741
513	781	739
514	783	737
515	785	736
516	786	734
517	788	733
518	789	731
519	790	729
520	792	728
521	793	726
522	794	724
523	795	722
524	796	720
525	797	718
526	799	717
527	800	715
528	802	714
529	803	712
530	804	710
531	805	708
532	806	706
533	807	704
534	808	702
535	809	701
536	810	699
537	811	697
538	812	695
539	814	693
540	815	691
541	816	689
542	817	687
543	818	686
544	819	684
545	820	682
546	821	680
547	822	678
548	823	676
549	824	674
550	825	673
551	827	671
552	828	669
553	829	667
554	830	666
555	831	664
556	832	662
557	834	660
558	835	658
559	836	656
560	837	655
561	837	653
562	838	651
563	839	649
564	841	647
565	842	646
566	843	644
567	845	642
568	846	640
569	847	639
570	848	637
571	849	635
572	850	633
573	851	632
574	852	630
575	853	628
576	854	626
577	856	625
578	857	623
579	858	621
580	859	619
581	860	618
582	861	616
583	862	614
584	864	613
585	865	611
586	866	609
587	868	608
588	869	607
589	871	605
590	872	604
591	874	602
592	875	600
593	876	599
594	878	597
595	880	596
596	881	594
597	883	593
598	885	592
599	886	591
600	887	589
601	889	587
602	890	586
603	891	584
604	892	582
605	893	581
606	895	579
607	896	577
608	897	576
609	898	574
610	899	572
611	901	571
612	902	569
613	903	567
614	904	566
615	905	564
616	906	562
617	907	560
618	908	559
619	910	557
620	911	556
621	912	554
622	914	553
623	915	551
624	916	549
625	917	548
626	918	546
627	919	544
628	920	542
629	921	541
630	922	539
631	923	537
632	925	536
633	926	535
634	928	533
635	929	531
636	930	530
637	931	528
638	932	526
639	933	525
640	934	523
641	935	521
642	936	520
643	937	518
644	938	516
645	940	515
646	941	513
647	943	512
648	944	510
649	944	508
650	945	507
651	946	505
652	948	503
653	949	502
654	950	500
655	951	498
656	952	497
657	953	495
658	955	494
659	956	492
660	957	490
661	958	489
662	959	487
663	960	486
664	961	484
665	962	482
666	963	481
667	964	479
668	966	477
669	967	476
670	968	475
671	970	473
672	971	472
673	972	470
674	974	469
675	975	467
676	976	465
677	977	464
678	978	462
679	979	461
680	980	459
681	982	458
682	983	456
683	985	455
684	987	453
685	988	452
686	989	450
687	990	449
688	991	447
689	993	446
690	994	444
691	996	443
692	998	442
693	1000	441
694	1001	439
695	1002	438
696	1004	436
697	1005	434
698	1006	433
699	1007	431
700	1008	430
701	1010	429
702	1012	427
703	1013	426
704	1015	424
705	1016	423
706	1017	421
707	1019	420
708	1020	418
709	1021	417
710	1023	416
711	1024	414
712	1026	413
713	1027	411
714	1028	410
715	1030	408
716	1031	407
717	1033	405
718	1034	404
719	1035	402
720	1036	401
721	1038	399
722	1039	398
723	1041	396
724	1042	395
725	1044	394
726	1045	392
727	1046	391
728	1047	389
729	1049	388
730	1050	386
731	1051	385
732	1053	383
733	1054	382
734	1055	380
735	1056	379
736	1058	377
737	1059	376
738	1060	374
739	1062	373
740	1063	371
741	1064	370
742	1066	368
743	1067	367
744	1068	365
745	1069	364
746	1071	362
747	1072	361
748	1074	360
749	1075	358
750	1077	357
751	1078	355
752	1080	354
753	1081	352
754	1082	351
755	1083	349
756	1085	348
757	1086	346
758	1087	345
759	1089	343
760	1090	342
761	1091	340
762	1093	339
763	1094	338
764	1095	336
765	1096	335
766	1097	333
767	1099	332
768	1100	330
769	1102	329
770	1104	327
771	1105	326
772	1106	324
773	1107	323
774	1108	321
775	1110	320
776	1111	318
777	1112	317
778	1113	315
779	1114	314
780	1115	312
781	1117	311
782	1118	309
783	1120	308
784	1121	307
785	1122	305
786	1123	304
787	1124	302
788	1126	301
789	1127	299
790	1128	298
791	1129	296
792	1130	295
793	1132	293
794	1133	292
795	1134	290
796	1136	289
797	1137	287
798	1138	286
799	1139	284
800	1140	283
801	1141	281
802	1142	280
803	1144	278
804	1145	277
805	1146	275
806	1148	274
807	1149	273
808	1150	271
809	1152	270
810	1153	268
811	1154	267
812	1155	265
813	1157	264
814	1158	262
815	1159	261
816	1160	260
817	1162	258
818	1163	257
819	1165	255
820	1166	254
821	1167	252
822	1168	251
823	1169	249
824	1170	248
825	1171	246
826	1172	245
827	1174	243
828	1175	242
829	1177	241
830	1179	239
831	1181	238
832	1182	237
833	1183	235
834	1184	234
835	1185	232
836	1186	231
837	1188	229
838	1189	228
839	1190	226
840	1191	225
841	1192	223
842	1194	222
843	1195	220
844	1196	219
845	1197	217
846	1198	216
847	1199	215
848	1200	213
849	1201	212
850	1203	210
851	1204	209
852	1205	207
853	1206	206
854	1208	204
855	1209	203
856	1211	202
857	1212	200
858	1213	199
859	1214	197
860	1215	196
861	1216	194
862	1217	193
863	1218	191
864	1220	190
865	1221	188
866	1222	187
867	1224	186
868	1225	184
869	1226	183
870	1228	181
871	1229	180
872	1230	178
873	1231	177
874	1232	176
875	1234	174
876	1235	173
877	1236	171
878	1238	170
879	1239	169
880	1241	167
881	1242	166
882	1243	164
883	1244	163
884	1246	161
885	1247	160
886	1249	159
887	1250	157
888	1251	156
889	1252	154
890	1253	153
891	1255	152
892	1256	150
893	1257	149
894	1259	147
895	1260	146
896	1261	144
897	1262	143
898	1263	141
899	1264	140
900	1266	139
901	1267	137
902	1268	136
903	1269	134
904	1270	133
905	1271	131
906	1272	130
907	1273	129
908	1274	127
909	1275	126
910	1276	124
911	1278	123
912	1279	121
913	1280	120
914	1281	119
915	1282	117
916	1283	116
917	1285	114
918	1286	113
919	1287	111
920	1288	110
921	1289	109
922	1290	107
923	1291	106
924	1292	104
925	1294	103
926	1295	101
927	1296	100
928	1297	99
929	1298	97
930	1299	96
931	1300	94
932	1302	93
933	1303	92
934	1304	90
935	1305	89
936	1306	87
937	1308	86
938	1309	85
939	1310	83
940	1312	82
941	1313	80
942	1314	79
943	1315	78
944	1316	76
945	1318	75
946	1319	73
947	1320	72
948	1321	71
949	1322	69
950	1324	68
951	1325	66
952	1326	65
953	1327	64
954	1329	62
955	1330	61
956	1331	59
957	1332	58
958	1333	56
959	1334	55
960	1335	54
961	1336	52
962	1337	51
963	1339	50
964	1340	48
965	1341	47
966	1343	45
967	1344	44
968	1345	43
969	1346	41
970	1347	40
971	1348	38
972	1349	37
973	1350	36
974	1351	34
975	1353	33
976	1355	31
977	1356	30
978	1357	29
979	1358	27
980	1359	26
981	1360	24
982	1361	23
983	1362	22
984	1363	20
985	1364	19
986	1365	17
987	1366	16
988	1368	15
989	1370	13
990	1371	12
991	1372	11
992	1374	9
993	1375	8
994	1376	6
995	1378	5
996	1379	4
997	1380	2
998	1381	1
999	1383	0
